Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.5233948093157,71.5821433759539,76.4387030058668,83.0740187275294,105.021064735005,97.8679108385313,100,111.804185808913,119.005731346616,127.795223073732,133.768366733582,132.883209191418,138.708665508891,145.610741438593,..
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,111.65523822034,124.240382550808,137.798454142272,147.719600125925,180.997511515776,184.791741983155,180.793949236649,187.69057005143,218.834717103615,234.813495234107,246.138046378186,247.533512592586,253.59205127826,266.532125561718,271.723432120291,273.875043749848
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.11476319055453,16.6744052854876,30.8484420189515,37.8094092156115,40.7559791036701,45.9423721802302,61.186177324196,73.8167535553786,74.10422378836,74.1412893400533,76.4452953510446,82.3854967754163,82.7842447315689,84.671741380676,86.6755675346977,88.7304097599339,91.3325909428359,94.4042316258352,96.5107646622123,100,103.4428359317,105.549368968077,107.581662954714,109.31700074239,111.404974016333,112.825527004454,115.075186896808,117.400615256125
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.70957288962813,2.65159962714335,2.65112978755412,2.65068558621114,2.64993384496675,2.65924100481951,2.59495916061338,2.59495121762933,2.59493620375731,2.59503167564931,2.58383751831052,3.50146795555262,11.6593511273047,26.3094207492493,35.7393683606848,39.3028202239717,54.3055367445331,60.4093062835158,64.4750006931698,65.8312185344784,69.5465890444503,72.1990492975176,74.8300908923865,78.7190895861339,81.2042071135671,83.8867808789141,85.9677315115566,89.7416286851914,93.4364538934379,95.7000386853914,100,102.314779211204,103.381341681877,103.679881533721,105.29143599897,105.873593687505,105.168133639614,106.702596802823,107.548837067527
Algeria,DZA,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,2.56902453351968,2.73858015270629,2.81051283964484,2.91327382098562,3.093105538332,3.23846950986223,3.50500580522346,3.8355536285299,4.29540902002563,5.04813320836617,5.62102567932607,6.15602503844653,7.05818082046753,7.51996298035484,7.96869149889254,8.61546221276254,9.51855969211015,10.6961586953676,11.4920877715448,12.1714477074316,13.3039231725121,15.51936355384,19.5367660532134,25.7239938107487,31.0077860314867,40.0148210875034,51.9310853466031,61.6313321735073,65.1649786270048,68.3907504003648,70.2000353167834,70.4381279952933,73.4148350773088,74.4560790953083,77.6345748311131,80.7103016516726,81.8260784457657,83.7174875822751,86.7974503902714,91.0145831804057,96.2361447551934,100,104.524211505053,113.81793046074,117.521838067973,120.94986420025,126.736646357875,134.844870195013,142.384203185789,148.463994714821
Algeria,DZA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.60989503670641,1.66578608925847,1.70495336860859,1.71431922119301,1.743380066043,1.76955397940519,1.80172118897389,1.82536051001563,1.88271436486396,1.91888289954364,2.01368426785364,2.35907066547775,2.25040099491743,2.46706086314757,3.67336950893579,3.89061339385548,4.31237894638038,4.82672067070991,5.31350129406648,6.05674524297472,7.62314304541028,8.71736895945429,8.88646797749878,9.49117398500089,10.2916126708939,10.8033658281428,11.0632238592061,12.0414363721616,13.1325065239059,15.2352011954588,19.8453119136256,30.5198281855617,37.2116406669071,42.2815126148111,54.5759817338696,70.1721805169874,87.0288744025848,93.1226040304469,90.2068526995893,100,122.65476746787,122.064174982016,123.665032120068,133.964889505228,150.370063541687,174.6049340409,193.049431260813,205.44950154663,236.997258786042,210.477754974464,244.326192130177,288.893512138932,310.506611089832,310.314580931733,309.414260673251,289.262521775783,293.633989558612,306.638961201088,339.855772067141
American Samoa,ASM,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.7421981004071,70.92866756393,68.5408299866131,67.6075268817204,69.5652173913043,71.5268225584594,79.5197740112994,100,84.5814977973568,84.0409956076135,98.6217457886677,100.944881889764,100.312012480499,101.848998459168,103.322784810127,106.020066889632,..
Andorra,AND,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,5.54081824278109,5.9755436940202,6.4845451496314,7.25292703803017,8.40942085419982,9.82067265696072,11.4400875553245,14.1151338172266,17.0272329194409,19.9102310550807,22.5692053488681,25.3567669949381,28.8008117935171,32.2235680211272,35.7245730914507,38.7952658254677,43.0157311228805,45.5726717004514,48.2779224533165,51.6072679922839,55.388142188722,59.2293924007684,63.2041413864442,66.0718597544631,68.6353506546604,72.0212172854118,72.5953533624887,74.2128941101172,75.3257586764745,77.3836415573946,100,102.769518098936,106.264100862641,109.32436186302,112.987130903513,116.489276497286,120.217506970013,124.869696931017,127.342208154906,127.34219060369,129.379592795535,132.613911441486,134.072549916171,134.073033403127,133.938468229092,133.328424695358,134.261586823102,135.689820523359,136.90559405644
